P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,ENER,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta
92,1,0.5897475000000014,2,1176,2517,5000,20000,83,126,0.426,75,135,126,114,31265000.0,8965000.0,194,Usada
102,1,0.5911088000000007,1,1084,104,50,1832,60,57,0.082,61,57,62,52,358070.0,12850.0,401,Usada
102,1,0.5933747999999994,1,378,47,20,728,59,65,0.08,61,26,60,68,151585.0,5883.0,447,Usada
92,1,0.594559799999999,1,5342,856,490,13996,65,61,0.078,61,331,60,61,3105000.0,134505.0,396,Usada
92,1,0.6090149999999994,1,675,202,110,2951,61,68,0.078,61,39,71,57,693845.0,28877.0,428,Usada
102,1,0.610081000000001,2,5032,2465,4920,20000,86,123,0.416,75,608,124,120,30776000.0,9086000.0,272,Usada
92,1,0.6125887999999975,1,809,48,20,1008,57,48,0.078,60,38,50,46,173271.0,5583.0,465,Usada
97,1,0.6140363000000022,1,169,32,10,445,57,72,0.078,60,12,72,71,103273.0,3963.0,454,Usada
107,1,0.6149355000000014,1,169,1,0,0,50,0,0.078,60,1,0,5,0.0,103.941,740,Usada
92,1,0.6153644999999983,1,2522,190,100,2937,62,65,0.078,60,164,62,65,639707.0,25490.0,435,Usada
92,1,0.6187384999999992,1,396,169,100,2676,66,63,0.078,60,36,58,90,643001.0,31138.0,408,Usada
102,1,0.6218502999999984,1,0,43,20,666,67,65,0.078,60,1,63,1000,155123.0,7188.0,414,Usada
102,1,0.6229555999999974,1,3874,492,290,8133,64,60,0.076,60,237,59,61,1851000.0,84234.0,412,Usada
92,1,0.6304177999999965,2,9865,2494,4800,19999,82,125,0.404,75,1251,122,126,30022000.0,7978000.0,243,Usada
92,1,0.6315345000000008,1,5513,360,200,6406,64,56,0.074,60,305,61,55,1255000.0,45448.0,400,Usada
87,1,0.6383764999999997,1,0,260,140,4042,63,64,0.074,60,1,64,1000,909236.0,38377.0,472,Usada
92,1,0.6428659999999979,1,646,92,50,1400,58,66,0.072,60,44,63,68,312320.0,11865.0,428,Usada
92,1,0.6447020999999964,1,32,35,20,545,61,64,0.072,60,4,60,125,139477.0,6459.0,399,Usada
