SNE1,SNE2,SNE3,Herramienta
-14.457598,8.987668,-10.046947,H1
3.6934152,-5.765629,-11.696336,H1
-8.546961,4.7321825,-10.61694,H1
3.6935332,-5.7103424,-11.928626,H1
-8.455163,4.748981,-10.602827,H1
-8.470685,4.799526,-10.785993,H1
-9.870574,3.7678294,-6.281294,H1
-9.550858,2.8981516,-6.6888475,H1
-8.645156,4.65923,-9.689171,H1
-8.5933,4.655408,-10.69872,H1
-9.311148,1.2275889,-7.093547,H1
-14.284231,0.3969836,-12.688855,H1
-13.505401,-0.066945165,-12.468735,H1
-15.504874,1.8148919,-13.017203,H1
-14.362192,1.1008215,-12.269018,H1
-14.87058,1.4617608,-12.348927,H1
-16.336012,2.9455009,-12.90898,H1
-17.066183,3.2678328,-12.668903,H1
-12.348365,-0.07757843,-10.952801,H1
-10.461604,-2.4848335,-8.871036,H1
-17.105537,3.2241495,-12.636488,H1
-13.117046,0.4597094,-10.631547,H1
-14.028608,0.75008637,-10.919617,H1
-14.972084,1.2995604,-11.052773,H1
-13.205126,0.41348955,-10.493295,H1
-17.17303,3.2657835,-12.0412445,H1
-11.912008,-0.4538541,-9.568911,H1
-13.47684,0.059424873,-10.17346,H1
-14.592918,1.1434118,-10.2758875,H1
-10.908808,-0.40575355,-9.947196,H1
-11.371552,-1.0911922,-8.105735,H1
-16.656555,1.4694879,-9.255912,H1
-12.055851,-1.4731892,-7.7770357,H1
18.267508,-3.9717405,4.89301,H2
18.190275,-4.036487,4.878201,H2
19.511166,-3.1557605,5.37988,H2
-14.99033,14.581259,2.179278,H2
19.550209,-3.0495617,5.1935577,H2
19.697786,-3.330552,4.9946084,H2
-23.870308,14.605495,0.0070723644,H2
18.014416,-3.8383698,5.054102,H2
9.599409,-9.15404,-2.9000864,H2
19.52374,-3.39562,5.1063433,H2
-12.736185,14.470904,-1.9220451,H2
11.31068,-10.155536,5.029845,H2
19.691294,-3.1397488,5.163192,H2
19.428057,-2.8780868,5.5448456,H2
-23.00267,14.428556,-0.28051504,H2
17.743216,-2.4667575,6.297783,H2
16.844297,-1.815988,8.941155,H2
-13.309215,14.73581,1.0777211,H2
17.736553,-2.329966,6.5790343,H2
16.422623,-2.035822,8.977653,H2
17.65082,-2.205674,6.685158,H2
-12.153963,12.081554,-5.042434,H2
16.60221,-1.1704177,9.533019,H2
17.669287,-2.5042324,6.3341274,H2
16.369257,-1.5566576,9.23875,H2
-12.07496,10.704551,3.1675167,H2
16.275713,-1.5149896,9.367381,H2
16.188318,-1.6796392,9.176159,H2
-12.103334,11.379738,3.446402,H2
16.98509,0.64023,10.906707,H2
16.981766,0.49406242,10.952547,H2
15.4169445,-1.7773474,10.819377,H2
-9.292875,8.05909,-1.8866222,H2
16.405434,-0.10537433,10.092846,H2
16.098799,-0.3085703,9.849351,H2
16.017134,0.013806285,9.928193,H2
-9.713032,7.968978,1.2199961,H2
15.73605,-0.786298,9.458759,H2
15.650364,-0.31489322,9.578374,H2
-11.60555,11.606895,-4.536462,H2
16.301079,1.0102563,10.758347,H2
16.506817,1.5272142,10.452349,H2
16.316425,1.3938292,11.141672,H2
-10.059227,9.083819,-0.53828275,H2
16.772606,1.7575741,10.976243,H2
16.086544,1.1950393,10.177811,H2
-9.141636,7.0877733,0.29630616,H2
15.509599,1.0276086,9.960144,H2
15.909621,4.227345,7.1492047,H2
15.216227,0.99946856,9.685897,H2
-21.167606,-1.4762448,-3.8961496,H2
15.734316,1.8102175,10.104445,H2
14.83066,0.9297788,9.51758,H2
16.545582,4.9013653,6.667653,H2
-13.64519,10.948114,-5.3182626,H2
16.316086,2.53305,10.672595,H2
16.727985,2.903631,10.672783,H2
-8.96063,6.6395154,-0.032257155,H2
15.393247,2.5807705,10.784905,H2
15.391027,2.2200954,9.958347,H2
16.391638,2.867421,10.441057,H2
15.179124,2.7133956,10.750368,H2
13.026842,2.2650201,10.348399,H2
15.60139,4.435007,6.689881,H2
-9.818695,5.9240456,0.69198096,H2
15.251895,3.0576446,11.810933,H2
14.554971,2.84706,10.3380165,H2
-21.739319,-0.68719476,-3.4837072,H2
12.680846,2.2333539,10.244117,H2
13.802855,1.7783254,9.089227,H2
15.003985,3.2630403,11.012491,H2
-9.128033,5.6351376,0.082893774,H2
15.603878,4.832277,6.2267923,H2
15.397144,4.575227,7.3315606,H2
15.317551,4.58574,5.9185195,H2
-9.169753,6.06755,-0.071965106,H2
15.262094,4.5307946,5.919481,H2
14.351772,3.438488,9.650804,H2
-21.707098,-0.61096466,-3.385086,H2
14.4783125,4.8717904,6.5366445,H2
15.182176,4.757971,6.3435245,H2
14.648444,4.903625,6.558217,H2
-9.109006,5.7370796,0.11198485,H2
13.740067,3.405111,10.11162,H2
11.960142,3.7681513,8.986255,H2
-11.449993,11.274112,-4.400388,H2
14.770521,3.57222,9.853307,H2
15.054457,4.8093224,6.281647,H2
13.481564,3.3923774,9.931598,H2
