P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta
107,1,0.5857545000000002,2,1,4,51,52,78,0.092,62,1,60,1000,9028.0,385.389,412,Nueva
102,1,0.5862375000000029,2,77,40,587,59,68,0.092,62,8,62,103,142252.0,6292.0,325,Nueva
102,1,0.5872896999999995,2,219,36,824,62,44,0.092,62,9,44,41,146065.0,5383.0,321,Nueva
92,1,0.5886594999999986,2,379,76,965,65,79,0.092,62,29,80,76,377468.0,26034.0,269,Nueva
102,1,0.5897177000000013,1,4118,2384,20000,77,119,0.364,74,518,117,125,18137000.0,3072000.0,247,Nueva
92,1,0.5900534999999962,2,340,62,772,65,80,0.09,62,29,76,85,308721.0,24276.0,350,Nueva
92,1,0.5912767000000017,2,67,44,822,60,54,0.09,62,6,50,89,146339.0,4790.0,338,Nueva
92,1,0.5925344999999993,2,1690,111,1863,63,60,0.09,62,95,92,56,482388.0,24376.0,292,Nueva
102,1,0.5949685000000002,2,1690,1,0,50,0,0.09,62,1,0,0,0.0,156.648,398,Nueva
102,1,0.5954017999999976,2,0,40,649,65,62,0.09,62,1,60,1000,130083.0,4526.0,488,Nueva
92,1,0.5964871999999986,2,1273,134,2046,62,65,0.09,62,83,65,65,587979.0,32117.0,275,Nueva
92,1,0.5989946999999987,2,44,46,538,62,86,0.09,62,5,83,113,194560.0,11754.0,276,Nueva
92,1,0.6002190000000027,2,165,62,1044,62,59,0.088,61,15,53,90,250710.0,11674.0,330,Nueva
92,1,0.6017062999999965,2,2786,215,3533,62,61,0.088,61,168,63,60,802851.0,35112.0,320,Nueva
92,1,0.6056752000000003,2,103,47,655,60,72,0.088,61,10,67,97,206058.0,11039.0,296,Nueva
92,1,0.606774999999999,2,20,29,759,56,38,0.088,61,3,35,150,118676.0,3447.0,345,Nueva
102,1,0.6079687000000007,2,207,46,753,58,61,0.088,61,13,60,62,157807.0,6092.0,368,Nueva
102,1,0.6092177999999961,2,459,75,1027,60,73,0.086,61,37,66,80,272884.0,12492.0,296,Nueva
102,1,0.610053299999997,1,18506,2354,19998,78,118,0.348,73,2178,118,117,17185000.0,2716000.0,255,Nueva
92,1,0.6106787000000011,2,661,49,768,59,64,0.086,61,45,37,68,159729.0,5972.0,338,Nueva
107,1,0.611880499999998,2,145,42,726,61,58,0.086,61,11,53,75,152226.0,6017.0,325,Nueva
102,1,0.6130445000000009,2,263,72,1071,65,67,0.086,61,18,66,68,269681.0,13323.0,291,Nueva
92,1,0.6145472999999981,2,0,22,383,63,57,0.086,61,1,54,1000,70211.0,2377.0,335,Nueva
92,1,0.6153881999999982,2,458,147,2670,61,55,0.086,61,29,53,63,524112.0,18854.0,325,Nueva
92,1,0.6184900000000013,2,454,39,782,61,50,0.086,61,21,54,46,140757.0,5216.0,330,Nueva
92,1,0.6197119999999998,2,77,20,292,56,68,0.084,61,7,60,90,58255.0,2105.0,381,Nueva
107,1,0.6204642000000007,2,0,1,0,50,0,0.084,61,1,0,1000,61.0,118.892,363,Nueva
102,1,0.6209321999999986,2,37,60,892,63,67,0.084,61,4,65,108,255620.0,14048.0,280,Nueva
92,1,0.6222567000000012,2,0,36,584,61,62,0.084,61,1,59,1000,136671.0,5670.0,410,Nueva
92,1,0.6232745000000008,2,0,49,948,63,52,0.084,61,1,50,1000,192028.0,7464.0,425,Nueva
92,1,0.624656299999998,2,196,65,978,59,66,0.084,61,14,65,71,212494.0,7938.0,331,Nueva
92,1,0.6260692999999975,2,550,40,841,56,48,0.084,61,24,54,43,149694.0,4747.0,360,Nueva
92,1,0.6273520000000019,2,8,52,628,62,83,0.084,61,2,80,250,196115.0,10429.0,291,Nueva
92,1,0.6284162999999978,2,254,102,1772,64,58,0.082,61,19,54,74,467901.0,27427.0,275,Nueva
92,1,0.6303906999999995,1,14797,2402,20000,77,120,0.324,73,1785,118,120,17987000.0,2983000.0,269,Nueva
92,1,0.6307632999999981,2,1690,119,1977,64,60,0.082,61,93,90,55,451736.0,19764.0,303,Nueva
92,1,0.6331732000000017,2,1090,54,1351,60,40,0.082,61,41,49,37,213805.0,6818.0,410,Nueva
92,1,0.6349574999999987,2,68,57,699,61,82,0.082,61,6,80,88,197396.0,9218.0,316,Nueva
92,1,0.6360896999999994,2,333,74,948,65,78,0.082,61,21,86,63,366732.0,28170.0,287,Nueva
92,1,0.637501499999999,2,198,105,1839,59,57,0.082,61,16,54,80,383843.0,14599.0,328,Nueva
92,1,0.6397784999999985,2,1693,131,2400,58,55,0.08,61,90,58,53,419009.0,12812.0,341,Nueva
102,1,0.6426135000000031,2,84,50,780,59,64,0.08,61,6,63,71,164700.0,6380.0,339,Nueva
92,1,0.6438270000000017,2,260,113,1612,64,70,0.08,61,22,67,84,511637.0,32626.0,284,Nueva
107,1,0.6458820000000003,2,5,1,6,51,167,0.08,61,1,0,200,1586.0,156.008,351,Nueva
92,1,0.6463311999999988,2,732,67,839,59,80,0.08,61,59,75,80,225517.0,9643.0,308,Nueva
92,1,0.6476022000000015,2,201,57,864,63,66,0.08,61,18,58,89,221491.0,11251.0,351,Nueva
102,1,0.6489231999999987,2,682,28,760,57,37,0.08,61,25,38,36,107360.0,3031.0,374,Nueva
92,1,0.6501161999999994,2,1557,141,2152,62,66,0.078,60,102,65,65,491507.0,20138.0,334,Nueva
112,1,0.6507229999999993,1,2135,2447,19999,77,122,0.306,72,242,123,113,17806000.0,2842000.0,229,Nueva
92,1,0.6527247000000003,2,224,59,840,60,70,0.078,60,23,58,102,213561.0,9520.0,295,Nueva
92,1,0.6539982999999978,2,0,40,906,61,44,0.078,60,1,43,1000,142527.0,4177.0,383,Nueva
92,1,0.6553364999999971,2,1964,191,3382,63,56,0.078,60,117,52,59,681034.0,25130.0,334,Nueva
92,1,0.6591556999999995,2,177,38,999,57,38,0.076,60,10,34,56,158905.0,4944.0,353,Nueva
107,1,0.6606085000000022,2,155,34,857,54,40,0.076,60,11,32,70,124959.0,3274.0,355,Nueva
92,1,0.661900199999998,2,22,113,2029,59,56,0.076,60,3,54,136,423493.0,15708.0,309,Nueva
92,1,0.664374500000001,2,1332,127,2063,61,62,0.076,60,72,75,54,459513.0,18889.0,321,Nueva
92,1,0.666879999999999,2,105,120,2023,64,59,0.076,60,11,56,104,448411.0,19084.0,374,Nueva
92,1,0.6693457000000009,2,1480,230,3630,62,63,0.074,60,89,65,60,794830.0,31594.0,300,Nueva
92,1,0.6710599999999971,1,12579,2363,20000,80,118,0.292,72,1502,116,119,17435000.0,3088000.0,259,Nueva
92,1,0.6734177000000017,2,63,55,906,61,61,0.074,60,6,58,95,220485.0,10465.0,321,Nueva
102,1,0.6747560000000021,2,0,44,525,70,84,0.074,60,1,82,1000,176687.0,10376.0,317,Nueva
92,1,0.6757249999999999,2,222,22,698,54,32,0.074,60,9,27,40,91165.0,2459.0,361,Nueva
102,1,0.6769412000000017,2,355,151,2505,63,60,0.074,60,26,58,73,585234.0,26089.0,292,Nueva
102,1,0.6799014999999997,2,409,37,582,60,64,0.072,60,29,46,70,109861.0,3761.0,337,Nueva
102,1,0.6809267000000006,2,120,53,673,64,79,0.072,60,8,81,66,189619.0,9642.0,392,Nueva
102,1,0.6820641999999992,2,264,62,819,60,76,0.072,60,19,77,71,211945.0,9160.0,305,Nueva
102,1,0.6833214999999981,2,471,141,2339,69,60,0.072,60,29,59,61,739076.0,60850.0,250,Nueva
92,1,0.6860967000000002,2,142,58,945,61,61,0.072,60,13,56,91,240767.0,11084.0,297,Nueva
92,1,0.6874837000000014,2,487,35,693,61,51,0.072,60,21,68,43,131059.0,4762.0,336,Nueva
92,1,0.688616500000002,2,1371,144,2070,63,70,0.07,60,97,67,70,623695.0,34881.0,279,Nueva
